Title,URL,Score,By
Plasma Bigscreen – 10-foot interface for KDE plasma,https://plasma-bigscreen.org,120,PaulHoule
this css proves me human,https://will-keleher.com/posts/this-css-makes-me-human/,153,todsacerdoti
C# strings silently kill your SQL Server indexes in Dapper,https://consultwithgriff.com/dapper-nvarchar-implicit-conversion-performance-trap,48,PretzelFisch
The Shady World of IP Leasing,https://acid.vegas/blog/the-shady-world-of-ip-leasing/,56,alibarber
Hardening Firefox with Anthropic's Red Team,https://www.anthropic.com/news/mozilla-firefox-security,481,todsacerdoti
Galileo's handwritten notes found in ancient astronomy text,https://www.science.org/content/article/galileo-s-handwritten-notes-found-ancient-astronomy-text,29,tzury
Show HN: Moongate – Ultima Online server emulator in .NET 10 with Lua scripting,https://github.com/moongate-community/moongatev2,226,squidleon
"Launch HN: Palus Finance (YC W26): Better yields on idle cash for startups, SMBs",,37,sam_palus
"Show HN: Kula – Lightweight, self-contained Linux server monitoring tool",https://github.com/c0m4r/kula,7,c0m4r
Tech employment now significantly worse than the 2008 or 2020 recessions,https://twitter.com/JosephPolitano/status/2029916364664611242,718,enraged_camel
CT Scans of Health Wearables,https://www.lumafield.com/scan-of-the-month/health-wearables,185,radeeyate
What canceled my Go context?,https://rednafi.com/go/context-cancellation-cause/,10,mweibel
Ada 2022,https://www.adaic.org/ada-resources/standards/ada22/,108,tosh
Entomologists use a particle accelerator to image ants at scale,https://spectrum.ieee.org/3d-scanning-particle-accelerator-antscan,100,gmays
I'm 60 years old. Claude Code has ignited a passion again,,89,shannoncc
LibreSprite – open-source pixel art editor,https://libresprite.github.io/,256,nicoloren
Show HN: The Roman Industrial Revolution that could have been (Vol 2),https://thelydianstone.com/volume-2,28,miki_tyler
Art Bits from HyperCard,https://archives.somnolescent.net/web/mari_v2/junk/hypercard/,54,TigerUniversity
Astra: An open-source observatory control software,https://github.com/ppp-one/astra,82,pppone
A tool that removes censorship from open-weight LLMs,https://github.com/elder-plinius/OBLITERATUS,117,mvdwoord
